transaction_id,customer_id,country,txn_date,currency_route,from_currency,to_currency,original_amount,is_cross_currency,is_same_currency
41,55,UK,2022-04-21,AUD --> AUD,AUD,AUD,792.0,0,1
45,93,UK,2022-09-29,EUR --> EUR,EUR,EUR,611.0,0,1
12,53,UK,2023-06-19,EUR --> EUR,EUR,EUR,135.0,0,1
108,95,UK,2022-10-01,EUR --> EUR,EUR,EUR,717.0,0,1
72,89,UK,2022-07-02,GBP --> GBP,GBP,GBP,216.0,0,1
80,53,UK,2022-05-08,USD --> USD,USD,USD,538.0,0,1
26,25,UK,2022-04-08,AUD --> EUR,AUD,EUR,39.0,1,0
99,94,UK,2023-04-07,AUD --> USD,AUD,USD,805.0,1,0
97,29,UK,2022-09-23,AUD --> USD,AUD,USD,768.0,1,0
49,82,UK,2022-04-07,EUR --> AUD,EUR,AUD,907.0,1,0
13,93,UK,2022-10-08,EUR --> GBP,EUR,GBP,979.0,1,0
118,70,UK,2023-01-28,EUR --> GBP,EUR,GBP,762.0,1,0
39,49,UK,2022-10-25,GBP --> AUD,GBP,AUD,165.0,1,0
88,55,UK,2022-05-07,GBP --> AUD,GBP,AUD,645.0,1,0
15,12,UK,2023-03-10,GBP --> EUR,GBP,EUR,450.0,1,0
107,88,UK,2022-08-11,GBP --> USD,GBP,USD,-584.0,1,0
69,54,UK,2023-07-05,USD --> AUD,USD,AUD,441.0,1,0
57,29,UK,2022-12-12,USD --> AUD,USD,AUD,875.0,1,0
112,29,UK,2023-01-30,USD --> EUR,USD,EUR,168.0,1,0
69,66,UK,2022-06-28,USD --> GBP,USD,GBP,433.0,1,0
19,22,UK,2022-08-24,USD --> GBP,USD,GBP,670.0,1,0
